@RELATION helix

@ATTRIBUTE TID numeric
@ATTRIBUTE A01 {no,yes}
@ATTRIBUTE A02 {no,yes}
@ATTRIBUTE A03 {no,yes}
@ATTRIBUTE A04 {no,yes}
@ATTRIBUTE A05 {no,yes}
@ATTRIBUTE A06 {no,yes}
@ATTRIBUTE A07 {no,yes}
@ATTRIBUTE A08 {no,yes}
@ATTRIBUTE A23 {no,yes}
@ATTRIBUTE B01 {no,yes}
@ATTRIBUTE B02 {no,yes}
@ATTRIBUTE C01 {no,yes}
@ATTRIBUTE C02 {no,yes}
@ATTRIBUTE C03 {no,yes}
@ATTRIBUTE C04 {no,yes}
@ATTRIBUTE C08 {no,yes}
@ATTRIBUTE C11 {no,yes}
@ATTRIBUTE D01 {no,yes}
@ATTRIBUTE D02 {no,yes}
@ATTRIBUTE D03 {no,yes}
@ATTRIBUTE D04 {no,yes}
@ATTRIBUTE D05 {no,yes}
@ATTRIBUTE D07 {no,yes}
@ATTRIBUTE E01 {no,yes}
@ATTRIBUTE E02 {no,yes}
@ATTRIBUTE E03 {no,yes}
@ATTRIBUTE E04 {no,yes}
@ATTRIBUTE E05 {no,yes}
@ATTRIBUTE E06 {no,yes}
@ATTRIBUTE E07 {no,yes}
@ATTRIBUTE F01 {no,yes}
@ATTRIBUTE F02 {no,yes}
@ATTRIBUTE F03 {no,yes}
@ATTRIBUTE F04 {no,yes}
@ATTRIBUTE G01 {no,yes}
@ATTRIBUTE G02 {no,yes}
@ATTRIBUTE G03 {no,yes}
@ATTRIBUTE G04 {no,yes}
@ATTRIBUTE G05 {no,yes}
@ATTRIBUTE G06 {no,yes}
@ATTRIBUTE H01 {no,yes}
@ATTRIBUTE H02 {no,yes}
@ATTRIBUTE H03 {no,yes}
@ATTRIBUTE H04 {no,yes}
@ATTRIBUTE I01 {no,yes}
@ATTRIBUTE I02 {no,yes}
@ATTRIBUTE I03 {no,yes}
@ATTRIBUTE I04 {no,yes}
@ATTRIBUTE I05 {no,yes}
@ATTRIBUTE I07 {no,yes}
@ATTRIBUTE K01 {no,yes}
@ATTRIBUTE K02 {no,yes}
@ATTRIBUTE K03 {no,yes}
@ATTRIBUTE K04 {no,yes}
@ATTRIBUTE K05 {no,yes}
@ATTRIBUTE K06 {no,yes}
@ATTRIBUTE L01 {no,yes}
@ATTRIBUTE L02 {no,yes}
@ATTRIBUTE L03 {no,yes}
@ATTRIBUTE L04 {no,yes}
@ATTRIBUTE L05 {no,yes}
@ATTRIBUTE L06 {no,yes}
@ATTRIBUTE L07 {no,yes}
@ATTRIBUTE L08 {no,yes}
@ATTRIBUTE M01 {no,yes}
@ATTRIBUTE M02 {no,yes}
@ATTRIBUTE M03 {no,yes}
@ATTRIBUTE N01 {no,yes}
@ATTRIBUTE N02 {no,yes}
@ATTRIBUTE N03 {no,yes}
@ATTRIBUTE N04 {no,yes}
@ATTRIBUTE N05 {no,yes}
@ATTRIBUTE P01 {no,yes}
@ATTRIBUTE P02 {no,yes}
@ATTRIBUTE P03 {no,yes}
@ATTRIBUTE P04 {no,yes}
@ATTRIBUTE P05 {no,yes}
@ATTRIBUTE P06 {no,yes}
@ATTRIBUTE P07 {no,yes}
@ATTRIBUTE P08 {no,yes}
@ATTRIBUTE Q01 {no,yes}
@ATTRIBUTE Q02 {no,yes}
@ATTRIBUTE Q03 {no,yes}
@ATTRIBUTE Q04 {no,yes}
@ATTRIBUTE Q05 {no,yes}
@ATTRIBUTE R01 {no,yes}
@ATTRIBUTE R02 {no,yes}
@ATTRIBUTE R03 {no,yes}
@ATTRIBUTE R04 {no,yes}
@ATTRIBUTE R05 {no,yes}
@ATTRIBUTE R06 {no,yes}
@ATTRIBUTE R07 {no,yes}
@ATTRIBUTE S01 {no,yes}
@ATTRIBUTE S02 {no,yes}
@ATTRIBUTE S03 {no,yes}
@ATTRIBUTE S04 {no,yes}
@ATTRIBUTE S05 {no,yes}
@ATTRIBUTE S06 {no,yes}
@ATTRIBUTE S07 {no,yes}
@ATTRIBUTE T01 {no,yes}
@ATTRIBUTE T02 {no,yes}
@ATTRIBUTE T03 {no,yes}
@ATTRIBUTE T04 {no,yes}
@ATTRIBUTE T05 {no,yes}
@ATTRIBUTE T06 {no,yes}
@ATTRIBUTE V01 {no,yes}
@ATTRIBUTE V02 {no,yes}
@ATTRIBUTE V03 {no,yes}
@ATTRIBUTE V04 {no,yes}
@ATTRIBUTE V05 {no,yes}
@ATTRIBUTE V06 {no,yes}
@ATTRIBUTE W01 {no,yes}
@ATTRIBUTE W02 {no,yes}
@ATTRIBUTE W03 {no,yes}
@ATTRIBUTE X01 {no,yes}
@ATTRIBUTE X02 {no,yes}
@ATTRIBUTE X03 {no,yes}
@ATTRIBUTE X04 {no,yes}
@ATTRIBUTE Y01 {no,yes}
@ATTRIBUTE Y02 {no,yes}
@ATTRIBUTE Y03 {no,yes}
@ATTRIBUTE Y04 {no,yes}
@ATTRIBUTE Y05 {no,yes}
@ATTRIBUTE Y06 {no,yes}
@ATTRIBUTE Z01 {no,yes}

@Data
1, yes, no, no, no, no, no, no, no, no, no, no, yes, no, no, no, no, no, yes, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, yes, no, no, no, no, no, yes, no, no, no, no, no, no, no, no, no, no, yes, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, yes, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, yes, no, no, no, no, no, no, no, no, no, no, no, no, yes, no, no, no, no, no, no
2, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, yes, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, yes, no, no, no, no, no, yes, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no
3, yes, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, yes, no, no, no, no, no, no, no, no, no, yes, no, no, no, no, no, no, no, no, no, yes, no, no, no, no, no, no, yes, no, no, no, no, no, no, yes, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, yes, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no
4, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, yes, no, no, no, no, no, yes, no, no, no, no, no, no, yes, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, yes, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, yes, no, no, no, no, yes, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, yes, no, no, no, no, no, no
5, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, yes, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, yes, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, yes, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no
6, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, yes, no, no, no, no, no, no, yes, no, no, no, yes, no, no, no, no, no, no, no, no, no, yes, no, no, no, no, no, no, yes, no, no, no, no, yes, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, yes, no, no, no, no, no, no, no, no, no, no, no, no, yes, no, no, no, no, no, no, no, no, no, no, no, no, no, yes, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, yes, no, no, no, no, no, no
7, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, yes, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, yes, no, no, no, no, no, no, no, no, no, no, yes, no, no, no, no, no, no, no, no, no, no, yes, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, yes, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, yes, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no
8, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, yes, no, no, no, yes, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, yes, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, yes, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no
9, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, yes, no, no, no, no, no, no, no, no, no, no, no, no, yes, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, yes, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, yes, no, no, no, no, no, no
10, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, yes, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, yes, no, no, no, no, no, no, no, yes, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, yes, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no
