@RELATION loop

@ATTRIBUTE A01 {yes}
@ATTRIBUTE A02 {yes}
@ATTRIBUTE A03 {yes}
@ATTRIBUTE A04 {yes}
@ATTRIBUTE A05 {yes}
@ATTRIBUTE A06 {yes}
@ATTRIBUTE A07 {yes}
@ATTRIBUTE A08 {yes}
@ATTRIBUTE A23 {yes}
@ATTRIBUTE B01 {yes}
@ATTRIBUTE B02 {yes}
@ATTRIBUTE C01 {yes}
@ATTRIBUTE C02 {yes}
@ATTRIBUTE C03 {yes}
@ATTRIBUTE C04 {yes}
@ATTRIBUTE C08 {yes}
@ATTRIBUTE C11 {yes}
@ATTRIBUTE D01 {yes}
@ATTRIBUTE D02 {yes}
@ATTRIBUTE D03 {yes}
@ATTRIBUTE D04 {yes}
@ATTRIBUTE D05 {yes}
@ATTRIBUTE D07 {yes}
@ATTRIBUTE E01 {yes}
@ATTRIBUTE E02 {yes}
@ATTRIBUTE E03 {yes}
@ATTRIBUTE E04 {yes}
@ATTRIBUTE E05 {yes}
@ATTRIBUTE E06 {yes}
@ATTRIBUTE E07 {yes}
@ATTRIBUTE F01 {yes}
@ATTRIBUTE F02 {yes}
@ATTRIBUTE F03 {yes}
@ATTRIBUTE F04 {yes}
@ATTRIBUTE G01 {yes}
@ATTRIBUTE G02 {yes}
@ATTRIBUTE G03 {yes}
@ATTRIBUTE G04 {yes}
@ATTRIBUTE G05 {yes}
@ATTRIBUTE G06 {yes}
@ATTRIBUTE H01 {yes}
@ATTRIBUTE H02 {yes}
@ATTRIBUTE H03 {yes}
@ATTRIBUTE H04 {yes}
@ATTRIBUTE I01 {yes}
@ATTRIBUTE I02 {yes}
@ATTRIBUTE I03 {yes}
@ATTRIBUTE I04 {yes}
@ATTRIBUTE I05 {yes}
@ATTRIBUTE I07 {yes}
@ATTRIBUTE K01 {yes}
@ATTRIBUTE K02 {yes}
@ATTRIBUTE K03 {yes}
@ATTRIBUTE K04 {yes}
@ATTRIBUTE K05 {yes}
@ATTRIBUTE K06 {yes}
@ATTRIBUTE L01 {yes}
@ATTRIBUTE L02 {yes}
@ATTRIBUTE L03 {yes}
@ATTRIBUTE L04 {yes}
@ATTRIBUTE L05 {yes}
@ATTRIBUTE L06 {yes}
@ATTRIBUTE L07 {yes}
@ATTRIBUTE L08 {yes}
@ATTRIBUTE M01 {yes}
@ATTRIBUTE M02 {yes}
@ATTRIBUTE M03 {yes}
@ATTRIBUTE N01 {yes}
@ATTRIBUTE N02 {yes}
@ATTRIBUTE N03 {yes}
@ATTRIBUTE N04 {yes}
@ATTRIBUTE N05 {yes}
@ATTRIBUTE P01 {yes}
@ATTRIBUTE P02 {yes}
@ATTRIBUTE P03 {yes}
@ATTRIBUTE P04 {yes}
@ATTRIBUTE P05 {yes}
@ATTRIBUTE P06 {yes}
@ATTRIBUTE P07 {yes}
@ATTRIBUTE P08 {yes}
@ATTRIBUTE Q01 {yes}
@ATTRIBUTE Q02 {yes}
@ATTRIBUTE Q03 {yes}
@ATTRIBUTE Q04 {yes}
@ATTRIBUTE Q05 {yes}
@ATTRIBUTE R01 {yes}
@ATTRIBUTE R02 {yes}
@ATTRIBUTE R03 {yes}
@ATTRIBUTE R04 {yes}
@ATTRIBUTE R05 {yes}
@ATTRIBUTE R06 {yes}
@ATTRIBUTE R07 {yes}
@ATTRIBUTE S01 {yes}
@ATTRIBUTE S02 {yes}
@ATTRIBUTE S03 {yes}
@ATTRIBUTE S04 {yes}
@ATTRIBUTE S05 {yes}
@ATTRIBUTE S06 {yes}
@ATTRIBUTE S07 {yes}
@ATTRIBUTE T01 {yes}
@ATTRIBUTE T02 {yes}
@ATTRIBUTE T03 {yes}
@ATTRIBUTE T04 {yes}
@ATTRIBUTE T05 {yes}
@ATTRIBUTE T06 {yes}
@ATTRIBUTE V01 {yes}
@ATTRIBUTE V02 {yes}
@ATTRIBUTE V03 {yes}
@ATTRIBUTE V04 {yes}
@ATTRIBUTE V05 {yes}
@ATTRIBUTE V06 {yes}
@ATTRIBUTE W01 {yes}
@ATTRIBUTE W02 {yes}
@ATTRIBUTE W03 {yes}
@ATTRIBUTE X01 {yes}
@ATTRIBUTE X02 {yes}
@ATTRIBUTE X03 {yes}
@ATTRIBUTE X04 {yes}
@ATTRIBUTE Y01 {yes}
@ATTRIBUTE Y02 {yes}
@ATTRIBUTE Y03 {yes}
@ATTRIBUTE Y04 {yes}
@ATTRIBUTE Y05 {yes}
@ATTRIBUTE Y06 {yes}
@ATTRIBUTE Z01 {yes}

@Data
?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, yes, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?
?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, yes, ?, ?, ?, ?, ?, yes, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, yes, ?, ?, ?, yes, ?, ?, ?, ?, ?, yes, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, yes, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, yes, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, yes, ?, ?, ?, ?, ?, ?
?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, yes, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?
?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, yes, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, yes, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, yes, ?, ?, ?, ?, ?, ?, ?, yes, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?
?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, yes, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, yes, ?, ?, ?, ?, ?, ?, ?, yes, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?
?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, yes, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, yes, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?
?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, yes, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?
?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, yes, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, yes, ?, ?, ?, ?, ?, ?, ?, ?, ?, yes, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, yes, ?, ?, ?, ?, ?, ?, ?, yes, ?, ?, ?, ?, ?, ?, ?, yes, ?, ?, ?, ?, ?, ?, ?, ?, yes, ?, ?, ?, yes, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, yes, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?
?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, yes, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, yes, ?, ?, ?, ?, ?, yes, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, yes, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, yes, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?
?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, yes, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?
